wijk,area
't Acker,4.10028524387309
Aldenhof,3.61309837549294
Biezen,7.79423474714827
Bottendaal,0.48860693950052
Galgenveld,1.00091607763541
Goffert,2.28778690883347
Hatert,3.453422601359
Hatertse Hei,1.93925938057136
Hees,1.46004053371927
Heijendaal,4.1613900975636
Hengstdal,3.20060392152972
Hunnerberg,2.19707828583754
Kwakkenberg,0.780858339711817
Lankforst,2.2237771788681
Lent,5.40686635075421
Neerbosch-Oost,0.974812468687339
Nije Veld,1.63080298044253
Ressen,5.32075889462701
Stadscentrum,1.27479600640896
Weezenhof,1.59746906316856
Westkanaaldijk,2.73360971188344
Wolfskuil,1.12281934782459
